cell_id,lat,lon,risk_score,rainfall_score,terrain_score,lake_proximity_score
CELL_002562,28.10511503021528,85.48032518348111,62.49276330438654,0.4613149375674425,0.4422563074867684,0.9712116540773855
CELL_002563,27.843425806602994,85.48500428345677,35.34886011338917,0.7035108678896254,0.2624505421098608,0.09450439340218897
CELL_002564,27.844328239963648,85.48499174223005,36.67647260332631,0.7035108678896254,0.299380812907867,0.09740249730229689
CELL_002565,27.845230673201037,85.48497920042178,40.03447065070311,0.7035108678896254,0.39706849596629157,0.10045475566517648
CELL_002566,27.846133106315147,85.48496665803192,45.20515389753866,0.7035108678896254,0.5488592569754894,0.10378449206104512
CELL_002567,27.847035539305992,85.48495411506049,40.927367555624066,0.7035108678896254,0.4173192538924002,0.10699090488669649
CELL_002568,27.847937972173565,85.48494157150745,42.11264409160201,0.7035108678896254,0.44957864446842405,0.11028981039001085
CELL_002569,27.84884040491786,85.48492902737279,43.32806638918864,0.7035108678896254,0.48268074610759987,0.11365037767843378
CELL_002570,27.849742837538873,85.48491648265644,44.289647671411196,0.7035108678896254,0.5081676172858538,0.11701094496685682
CELL_002571,27.850645270036598,85.48490393735845,38.440513505643764,0.7035108678896254,0.3292405323467448,0.12046400493294285
CELL_002572,27.851547702411043,85.48489139147877,37.93043351660586,0.7035108678896254,0.31042341092441295,0.12397872668413745
CELL_002573,27.852450134662195,85.48487884501736,37.47053936933696,0.7035108678896254,0.29305020297004264,0.12755511022044086
CELL_002574,27.853352566790065,85.48486629797422,45.77723823715807,0.7035108678896254,0.53879810903859,0.13100817018652688
CELL_002575,27.85425499879463,85.48485375034934,51.96859531027867,0.7035108678896254,0.720993268588459,0.1345537228302759
CELL_002576,27.855157430675902,85.48484120214266,42.467884486922564,0.7035108678896254,0.43236472945891785,0.1381609372591337
CELL_002577,27.85605986243387,85.4848286533542,45.806356302348284,0.7035108678896254,0.5287575150300601,0.14192230615076307
CELL_002578,27.856962294068538,85.48481610398393,51.27815459979789,0.7035108678896254,0.6892425877395817,0.14559118236472945
CELL_002579,27.857864725579898,85.48480355403183,49.425046674545676,0.7035108678896254,0.6298571501978315,0.14938338214891322
CELL_002580,27.858767156967954,85.48479100349785,43.133146635150645,0.7035108678896254,0.4372771183392426,0.15320641282565128
CELL_002581,27.8596695882327,85.484778452382,38.43194936882311,0.7035108678896254,0.2924181696726787,0.15702944350238934
CELL_002582,27.86057201937413,85.48476590068425,40.14306390558895,0.7035108678896254,0.3400827295616875,0.16069831971635584
CELL_002583,27.861474450392237,85.4847533484046,41.94615727180857,0.7035108678896254,0.390352499871538,0.1645213503930939
CELL_002584,27.862376881287027,85.48474079554299,44.288277409519885,0.7035108678896254,0.45666974975592206,0.16846770464004934
CELL_002585,27.86327931205849,85.48472824209941,48.31342171522532,0.7035108678896254,0.5736935409280098,0.17219824263912442
CELL_002586,27.86418174270664,85.48471568807388,47.07539009643217,0.7035108678896254,0.5327295616874775,0.17602127331586248
CELL_002587,27.865084173231452,85.48470313346633,47.92598016545912,0.7035108678896254,0.554177585941113,0.1800909511330353
CELL_002588,27.865986603632933,85.48469057827675,47.416414024630456,0.7035108678896254,0.5349134165767432,0.18406813627254504
CELL_002589,27.86688903391109,85.48467802250515,40.85988215747734,0.7035108678896254,0.33439442988541185,0.1878911669492832
CELL_002590,27.867791464065903,85.48466546615147,40.96008255827896,0.7035108678896254,0.33339242587739587,0.19189918298134734
CELL_002591,27.86869389409738,85.48465290921571,43.45978281349023,0.7035108678896254,0.4041287703612353,0.19615384615384612
CELL_002592,27.869596324005514,85.48464035169785,42.64225031259099,0.7035108678896254,0.37568727197985713,0.20006936950824727
CELL_002593,27.8704987537903,85.48462779359785,46.74430056694585,0.7035108678896254,0.4947715944709932,0.204046554647757
CELL_002594,27.871401183451738,85.48461523491574,43.38750149872395,0.7035108678896254,0.3898746210369457,0.2082395560351472
CELL_002595,27.872303612989832,85.48460267565143,44.65122552797903,0.7035108678896254,0.4236241714197626,0.21240172652998301
CELL_002596,27.87320604240457,85.48459011580495,46.35771543086172,0.7035108678896254,0.47068752890396176,0.21653306613226453
CELL_002597,27.874108471695944,85.48457755537625,43.78145179247383,0.7035108678896254,0.38936077282770665,0.22057191305688295
CELL_002598,27.875010900863973,85.48456499436533,44.88177209119093,0.7035108678896254,0.4181157186167206,0.22482657622938185
CELL_002599,27.87591332990863,85.48455243277218,38.60323210523611,0.7035108678896254,0.225566517650686,0.22901957761677205
CELL_002600,27.876815758829927,85.48453987059673,34.90215473682407,0.7035108678896254,0.11055701145881508,0.23299676275628178
CELL_002601,27.87771818762786,85.484527307839,42.809936111539315,0.7035108678896254,0.34362828220543645,0.2371589332511176
CELL_002602,27.878620616302417,85.48451474449897,45.04431940804687,0.7035108678896254,0.406220132572838,0.24159858177894245
CELL_002603,27.8795230448536,85.4845021805766,49.49955466488533,0.7035108678896254,0.5357458506757103,0.24572992138122396
CELL_002604,27.88042547328141,85.48448961607188,45.61571861672063,0.7035108678896254,0.41513026052104207,0.24983043009095118
CELL_002605,27.88132790158584,85.48447705098478,52.53982323621602,0.7035108678896254,0.6184137505780792,0.25427007861877604
CELL_002606,27.882230329766887,85.4844644853153,50.22990425295034,0.7035108678896254,0.5447998561225014,0.2585864035763835
CELL_002607,27.88313275782456,85.4844519190634,55.80327321309285,0.7035108678896254,0.7078695853244952,0.26271774317866503
CELL_002608,27.884035185758837,85.48443935222907,51.67809978932224,0.7035108678896254,0.5799830430090951,0.26684908278094654
CELL_002609,27.884937613569726,85.48442678481229,54.1038059024031,0.7035108678896254,0.6482529160885875,0.2713503930938801
CELL_002610,27.88584004125722,85.48441421681302,52.54650326293614,0.7035108678896254,0.5971558501618622,0.27572837983659626
CELL_002611,27.88674246882132,85.48440164823127,42.83494339105562,0.7035108678896254,0.3018935306510457,0.2796439031909974
CELL_002612,27.887644896262028,85.48438907906699,50.07163900450474,0.7035108678896254,0.5149247212373464,0.28371358100817023
CELL_002613,27.888547323579335,85.48437650932017,46.78609355463063,0.7035108678896254,0.4120112018909614,0.288060736858332
CELL_002614,27.88944975077323,85.48436393899081,42.83186030180018,0.7035108678896254,0.2893453573814295,0.29209958378295053
CELL_002615,27.89035217784372,85.48435136807886,43.842599729373276,0.7035108678896254,0.3160603257797647,0.29570679821180823
CELL_002616,27.89125460479081,85.48433879658431,45.84352465614991,0.7035108678896254,0.37238836647654283,0.299406505318329
CELL_002617,27.892157031614477,85.48432622450716,49.85993354229827,0.7035108678896254,0.48884178613637536,0.30344535224294744
CELL_002618,27.893059458314738,85.48431365184734,50.84652210403714,0.7035108678896254,0.5144930887415857,0.3073917064899029
CELL_002619,27.893961884891574,85.48430107860487,43.04288063306099,0.7035108678896254,0.27665330661322646,0.31112224448897796
CELL_002620,27.894864311344996,85.48428850477974,55.2239949985441,0.7035108678896254,0.6382945377935357,0.31491444427316173
CELL_002621,27.895766737674986,85.48427593037188,54.73892228902248,0.7035108678896254,0.6197651713683778,0.31889162941267146
CELL_002622,27.896669163881565,85.48426335538132,53.61770549646301,0.7035108678896254,0.5820281588818663,0.3229921381223987
CELL_002623,27.897571589964702,85.484250779808,48.91736464381755,0.7035108678896254,0.43728739530342736,0.32672267612147377
CELL_002624,27.89847401592441,85.48423820365191,54.08890430433516,0.7035108678896254,0.5886722162273265,0.33048404501310313
CELL_002625,27.89937644176069,85.48422562691304,59.620994125002134,0.7035108678896254,0.7508427110631519,0.3342762447972869
CELL_002626,27.900278867473524,85.48421304959138,48.585375879965056,0.4629104362571296,0.6563049175273624,0.3383459226144597
CELL_002627,27.901181293062923,85.48420047168689,40.260178476611344,0.4629104362571296,0.40269513385745853,0.3421997841837521
CELL_002628,27.902083718528882,85.48418789319955,45.988387030471195,0.4629104362571296,0.5708108524741792,0.34593032218282715
CELL_002629,27.902986143871388,85.48417531412933,47.60204169021804,0.4629104362571296,0.6155207851600637,0.34963002928934794
CELL_002630,27.90388856909045,85.48416273447624,50.317729476046104,0.4629104362571296,0.6931067262730589,0.3535147217511947
CELL_002631,27.904790994186058,85.48415015424023,48.519260743709644,0.4629104362571296,0.6352063100560095,0.35746107599815014
CELL_002632,27.905693419158222,85.48413757342128,50.49894661117106,0.4629104362571296,0.691051333436103,0.36100662864189914
CELL_002633,27.906595844006915,85.4841249920194,38.023739787266834,0.4629104362571296,0.3130645907199014,0.3647371666409742
CELL_002634,27.907498268732162,85.48411241003456,40.66920165116558,0.4629104362571296,0.3888212322080058,0.3683443810698319
CELL_002635,27.90840069333394,85.48409982746671,37.480602230101226,0.4629104362571296,0.2893710497918915,0.3721365808540157
