cell_id,distance_to_glacial_lake,glacial_lake_area,glacial_lake_area_change
CELL_000055,1321.2756619390127,9658.086843564957,6.55930720278301
CELL_000056,1252.1348032378914,9658.086843564957,6.55930720278301
CELL_000057,1186.8174984817938,9658.086843564957,6.55930720278301
CELL_000058,1125.890252541888,9658.086843564957,6.55930720278301
CELL_000059,1069.144719219676,9658.086843564957,6.55930720278301
CELL_000060,1019.0627307335833,9658.086843564957,6.55930720278301
CELL_000061,976.681763781959,9658.086843564957,6.55930720278301
CELL_000062,943.0406599067406,9658.086843564957,6.55930720278301
CELL_000063,918.9344308045959,9658.086843564957,6.55930720278301
CELL_000064,903.930138986662,9658.086843564957,6.55930720278301
CELL_000065,899.8549350957765,9658.086843564957,6.55930720278301
CELL_000066,906.8561695600409,9658.086843564957,6.55930720278301
CELL_000067,923.8837079650145,9658.086843564957,6.55930720278301
CELL_000068,950.9633519213351,9658.086843564957,6.55930720278301
CELL_000069,987.4722717898966,9658.086843564957,6.55930720278301
CELL_000070,1491.2322410247343,9658.086843564957,6.55930720278301
CELL_000071,1409.2004070817857,9658.086843564957,6.55930720278301
CELL_000072,1329.630767530924,9658.086843564957,6.55930720278301
CELL_000073,1252.99248545774,9658.086843564957,6.55930720278301
CELL_000074,1179.8569232146344,9658.086843564957,6.55930720278301
CELL_000075,1110.9160858956222,9658.086843564957,6.55930720278301
CELL_000076,1046.177828101463,9658.086843564957,6.55930720278301
CELL_000077,986.1707168349787,9658.086843564957,6.55930720278301
CELL_000078,931.6389328890496,9658.086843564957,6.55930720278301
CELL_000079,885.0816458445497,9658.086843564957,6.55930720278301
CELL_000080,847.8136224105532,9658.086843564957,6.55930720278301
CELL_000081,821.1006983781964,9658.086843564957,6.55930720278301
CELL_000082,804.4490093442769,9658.086843564957,6.55930720278301
CELL_000083,799.8671243929602,9658.086843564957,6.55930720278301
CELL_000084,807.7354918144018,9658.086843564957,6.55930720278301
CELL_000085,826.6428288650936,9658.086843564957,6.55930720278301
CELL_000086,856.8013523388972,9658.086843564957,6.55930720278301
CELL_000087,897.1503487304718,9658.086843564957,6.55930720278301
CELL_000088,1438.0522905824487,9658.086843564957,6.55930720278301
CELL_000089,1352.7995347033718,9658.086843564957,6.55930720278301
CELL_000090,1269.7002684660847,9658.086843564957,6.55930720278301
CELL_000091,1189.2060218424474,9658.086843564957,6.55930720278301
CELL_000092,1111.8827065094856,9658.086843564957,6.55930720278301
CELL_000093,1038.4388974233789,9658.086843564957,6.55930720278301
CELL_000094,969.7564304129634,9658.086843564957,6.55930720278301
CELL_000095,905.7816079612116,9658.086843564957,6.55930720278301
CELL_000096,847.0025698803368,9658.086843564957,6.55930720278301
CELL_000097,795.5072419019723,9658.086843564957,6.55930720278301
CELL_000098,753.823713113107,9658.086843564957,6.55930720278301
CELL_000099,723.6495070030229,9658.086843564957,6.55930720278301
CELL_000100,705.1146864873776,9658.086843564957,6.55930720278301
CELL_000101,699.8827967256449,9658.086843564957,6.55930720278301
CELL_000102,708.76331474457,9658.086843564957,6.55930720278301
CELL_000103,730.1476749150764,9658.086843564957,6.55930720278301
CELL_000104,764.1242163691161,9658.086843564957,6.55930720278301
CELL_000105,803.7101254982301,3504.816679479516,-48.70085355331917
CELL_000106,830.1436253560387,3504.816679479516,-48.70085355331917
CELL_000107,1390.041432558082,9658.086843564957,6.55930720278301
CELL_000108,1301.6479458258136,9658.086843564957,6.55930720278301
CELL_000109,1215.0553754951613,9658.086843564957,6.55930720278301
CELL_000110,1130.6775650750478,9658.086843564957,6.55930720278301
CELL_000111,1049.0490678748,9658.086843564957,6.55930720278301
